skill
python
java
javascript
typescript
react
nextjs
angular
vuejs
nodejs
express
mongodb
mysql
postgresql
sqlite
redis
html
css
tailwind css
bootstrap
git
github
docker
kubernetes
aws
azure
gcp
linux
rest api
graphql
fastapi
flask
django
spring boot
c
c++
c#
go
rust
php
laravel
tensorflow
pytorch
machine learning
deep learning
nlp
computer vision
data science
data analysis
pandas
numpy
scikit-learn
power bi
tableau
excel
langchain
llamaindex
rag
vector database
faiss
pinecone
chroma
openai
chatgpt
crewai
langgraph
mcp
agentic ai
prompt engineering
oop
data structures
algorithms
operating systems
computer networks
dbms
sql
cyber security
ethical hacking
devops
ci/cd
jenkins
selenium
playwright
jira
figma
ui ux
react native
flutter
android
ios
